tenant hmy,tenant id
1338,t0000436
1339,t0000437
1340,t0000438
1341,t0000439
1342,t0000440
1343,t0000441
1344,t0000442
1345,t0000443
1347,t0000445
1349,t0000446
1350,t0000447
1351,t0000448
1352,t0000449
1386,t0000450
1388,t0000452
1387,t0000451
1389,t0000453
1390,t0000454
5476,t0000626
28220,t0001003
7396,t0000704
29046,t0001016
17708,t0000907
29069,t0001017
19584,t0000943
6528,t0000679
13232,t0000798
13714,t0000823
4716,t0000583
6540,t0000684
7696,t0000713
5505,t0000643
29305,t0001021
4353,t0000571
1398,t0000457
1399,t0000458
1400,t0000459
1401,t0000460
1405,t0000462
1407,t0000464
2247,t0000469
2249,t0000470
2250,t0000471
4628,t0000581
4632,t0000582
4307,t0000554
2251,t0000472
2252,t0000473
2253,t0000474
2256,t0000475
2299,t0000481
2302,t0000482
2305,t0000483
2307,t0000485
2308,t0000486
2309,t0000487
2313,t0000488
2316,t0000490
10100,t0000766
5485,t0000633
10107,t0000767
10108,t0000768
4719,t0000586
4744,t0000590
2317,t0000491
2318,t0000492
1306,t0000434
2383,t0000494
2384,t0000495
2385,t0000496
2414,t0000497
10167,t0000770
10195,t0000771
10200,t0000772
10201,t0000773
10202,t0000774
10203,t0000775
4363,t0000575
4717,t0000584
4718,t0000585
4124,t0000501
4125,t0000502
4126,t0000503
4127,t0000504
4154,t0000505
4169,t0000507
4170,t0000508
4171,t0000509
4175,t0000510
4176,t0000511
4181,t0000512
4183,t0000514
4187,t0000515
4190,t0000516
4191,t0000517
5633,t0000650
5644,t0000652
5645,t0000653
6321,t0000672
6513,t0000676
4308,t0000555
6518,t0000677
4351,t0000569
6527,t0000678
6536,t0000681
6538,t0000682
6539,t0000683
6541,t0000685
6542,t0000686
6544,t0000687
3865,t0000498
3868,t0000499
5913,t0000655
5919,t0000658
5922,t0000659
5923,t0000660
5926,t0000661
5990,t0000663
5933,t0000662
5991,t0000664
5994,t0000665
5995,t0000666
5996,t0000667
5998,t0000668
6006,t0000669
4293,t0000544
4294,t0000545
4299,t0000547
4300,t0000548
4301,t0000549
4305,t0000553
4310,t0000556
4312,t0000557
4313,t0000558
4316,t0000560
4317,t0000561
4330,t0000565
4342,t0000566
4349,t0000567
4350,t0000568
4352,t0000570
4354,t0000572
4356,t0000573
4434,t0000577
4488,t0000578
4489,t0000579
4501,t0000580
5464,t0000617
10359,t0000777
15315,t0000850
15316,t0000851
5460,t0000614
17707,t0000906
15819,t0000858
15438,t0000853
15781,t0000857
4917,t0000605
17858,t0000923
5272,t0000607
5277,t0000608
5293,t0000609
6677,t0000690
6678,t0000691
4851,t0000593
4905,t0000594
4906,t0000595
4907,t0000596
4909,t0000598
4913,t0000601
4914,t0000602
4915,t0000603
4916,t0000604
4918,t0000606
1276,t0000432
1307,t0000435
7686,t0000711
7688,t0000712
5917,t0000656
7699,t0000714
13433,t0000807
13434,t0000808
13435,t0000809
13454,t0000810
13455,t0000811
13456,t0000812
13457,t0000813
13458,t0000814
13460,t0000815
4192,t0000518
4194,t0000520
4195,t0000521
4196,t0000522
4203,t0000523
4204,t0000524
4205,t0000525
4206,t0000526
4208,t0000528
4193,t0000519
4220,t0000529
4221,t0000530
4222,t0000531
4234,t0000534
4235,t0000535
4236,t0000536
4237,t0000537
4249,t0000539
4270,t0000540
4271,t0000541
4272,t0000542
4282,t0000543
7711,t0000716
7712,t0000717
7714,t0000718
7715,t0000719
6639,t0000688
6647,t0000689
8086,t0000742
7962,t0000731
5458,t0000612
5459,t0000613
5461,t0000615
5463,t0000616
5465,t0000618
5467,t0000619
5294,t0000610
5468,t0000620
5470,t0000621
5471,t0000622
5472,t0000623
5473,t0000624
5474,t0000625
5477,t0000627
5478,t0000628
5479,t0000629
5480,t0000630
5482,t0000631
5483,t0000632
5486,t0000634
5499,t0000638
5487,t0000635
5488,t0000636
5500,t0000639
5501,t0000640
5502,t0000641
5504,t0000642
5506,t0000644
5511,t0000646
5512,t0000647
5508,t0000645
5513,t0000648
5514,t0000649
6269,t0000670
9448,t0000751
9527,t0000753
9619,t0000756
6320,t0000671
6322,t0000673
6325,t0000674
6326,t0000675
6906,t0000696
6908,t0000697
6909,t0000698
6920,t0000701
11002,t0000778
11005,t0000779
11013,t0000780
9720,t0000757
11053,t0000784
11172,t0000785
8461,t0000745
8463,t0000747
8464,t0000748
17600,t0000880
17818,t0000916
17820,t0000917
17841,t0000921
17844,t0000922
18048,t0000925
18049,t0000926
18052,t0000927
18157,t0000931
7394,t0000702
7395,t0000703
7440,t0000705
7538,t0000706
7539,t0000707
7540,t0000708
7541,t0000709
7542,t0000710
27057,t0000994
33868,t0001040
9881,t0000759
17597,t0000878
7706,t0000715
8254,t0000743
8257,t0000744
9929,t0000760
9967,t0000762
9976,t0000765
36871,t0001060
14547,t0000831
13176,t0000797
13233,t0000799
13238,t0000800
13239,t0000801
13240,t0000802
13266,t0000803
13276,t0000804
13291,t0000805
12763,t0000792
12764,t0000793
14877,t0000842
14878,t0000843
14879,t0000844
14880,t0000845
14881,t0000846
12861,t0000794
12862,t0000795
12863,t0000796
38081,t0001091
36923,t0001073
17171,t0000864
17592,t0000876
17596,t0000877
17598,t0000879
17601,t0000881
17610,t0000882
17611,t0000883
17614,t0000886
17617,t0000887
17620,t0000889
17167,t0000861
17480,t0000867
11303,t0000787
11387,t0000788
36951,t0001081
13718,t0000826
34003,t0001042
19886,t0000958
36892,t0001066
12400,t0000790
12407,t0000791
34072,t0001049
27032,t0000991
12110,t0000789
45817,t0001173
41989,t0001147
42706,t0001153
42687,t0001151
13521,t0000818
13537,t0000819
13602,t0000822
13715,t0000824
13717,t0000825
13721,t0000827
13722,t0000828
13725,t0000829
13512,t0000817
51842,t0001200
43261,t0001155
33747,t0001039
28357,t0001008
51812,t0001197
17168,t0000862
17169,t0000863
16330,t0000859
51917,t0001219
48499,t0001185
52048,t0001241
52126,t0001254
19642,t0000952
19529,t0000941
19534,t0000942
19638,t0000950
20277,t0000959
20379,t0000961
36800,t0001051
36807,t0001052
36840,t0001056
21222,t0000965
22477,t0000966
22488,t0000967
62963,t0001382
57636,t0001340
28004,t0000996
28046,t0000999
28047,t0001000
71381,t0001428
32909,t0001030
28338,t0001006
28347,t0001007
28536,t0001013
28908,t0001015
28436,t0001012
30325,t0001024
73876,t0001501
74971,t0001516
36272,t0001050
36913,t0001072
72597,t0001454
43752,t0001156
77941,t0001669
46315,t0001177
36926,t0001074
60269,t0001359
57635,t0001339
63808,t0001383
63809,t0001384
63810,t0001385
62028,t0001371
62962,t0001381
66003,t0001397
70329,t0001418
70328,t0001417
72579,t0001448
74986,t0001523
75169,t0001535
